database_name,schema_name,table_name,column_count
eis,ct,archivedata,5
eis,ct,eisct_plant,2
eis,ct,eisct_realdata_,5
eis,ct,eisct_tag,8
eis,ct,eisct_tag_,8
eis,ct,eisct_tag_logsheet,8
eis,ct,hourdata,8
eis,ct,minute15data,8
eis,ct,minutedata,8
eis,ct,minutelogsheet,8
eis,ct,prism_tag,1
eis,ct,prism_tag_logsheet,1
eis,ct,realtemp_abp1,5
eis,ct,realtemp_abp2,5
eis,ct,realtemp_abp3,5
eis,ct,realtemp_abp4,5
eis,ct,realtemp_abp5,5
eis,ct,realtemp_abpr1,5
eis,ct,realtemp_abpr2,5
eis,ct,realtemp_abpr3,5
eis,ct,realtemp_abpr4,5
eis,ct,realtemp_abpr5,5
eis,ct,realtemp_bip1,5
eis,ct,realtemp_bip2,5
eis,ct,realtemp_bpwha1,5
eis,ct,tagtype,3
eis,ct,temp_tag,1
eis,ct,trace_202304261335,15
eis,ct,users,15
eis,dbo,minutedata,8
eis,public,awsdms_apply_exceptions,6
eis,public,awsdms_changesd368dc734a8260ac,11
eis,public,awsdms_changese93778cd4e1db301,11
