database_name,schema_name,table_name,column_count
elogsheet,bip1,approvelist,9
elogsheet,bip1,clientmaster,7
elogsheet,bip1,deviceapprove,8
elogsheet,bip1,imageupload,6
elogsheet,bip1,line,11
elogsheet,bip1,log_login,10
elogsheet,bip1,loginstatus,5
elogsheet,bip1,menu,7
elogsheet,bip1,permission,3
elogsheet,bip1,prismtag,1
elogsheet,bip1,refreshtoken,6
elogsheet,bip1,roles,7
elogsheet,bip1,searchdatatemplate,4
elogsheet,bip1,searchdatatrendtemplate,4
elogsheet,bip1,status,6
elogsheet,bip1,tag,17
elogsheet,bip1,tagvaluebeforeapprove,19
elogsheet,bip1,tagvaluebeforeapprove8,19
elogsheet,bip1,users,17
elogsheet,bip1,usertokenmaster,5
elogsheet,bip2,approvelist,9
elogsheet,bip2,clientmaster,7
elogsheet,bip2,deviceapprove,8
elogsheet,bip2,imageupload,6
elogsheet,bip2,line,11
elogsheet,bip2,log_login,10
elogsheet,bip2,loginstatus,5
elogsheet,bip2,menu,7
elogsheet,bip2,permission,3
elogsheet,bip2,prismtag,1
elogsheet,bip2,refreshtoken,6
elogsheet,bip2,roles,7
elogsheet,bip2,searchdatatemplate,4
elogsheet,bip2,searchdatatrendtemplate,4
elogsheet,bip2,status,6
elogsheet,bip2,tag,17
elogsheet,bip2,tagvaluebeforeapprove,19
elogsheet,bip2,users,17
elogsheet,bip2,usertokenmaster,5
elogsheet,public,awsdms_apply_exceptions,6
elogsheet,public,awsdms_changesbfd0f57d0033050a,22
elogsheet,public,awsdms_changesf89b78c893044c08,22
