database_name,schema_name,table_name,column_count
g3_amr,amr,elecbilling,11
g3_amr,amr,eleccontractmeter,5
g3_amr,amr,eleceventdata,28
g3_amr,amr,eleceventdescription,7
g3_amr,amr,elechardwarehistory,6
g3_amr,amr,elecinstantdata,7
g3_amr,amr,elecloadprofiledata,37
g3_amr,amr,elecmeter,33
g3_amr,amr,elecmonthlydata,70
g3_amr,amr,elecsyncclockdata,8
g3_amr,amr,readinghistory,23
g3_amr,amr,readingschedule,19
g3_amr,amr,readingsource,7
g3_amr,amr,readingsummary,14
g3_amr,amr,timerate,3
g3_amr,amr,toudaytype,3
g3_amr,amr,touseason,14
g3_amr,amr,touspecialday,7
g3_amr,amr,toutiming,5
g3_amr,dbo,billing,46
g3_amr,dbo,billingitem,22
g3_amr,dbo,billingparam,12
g3_amr,dbo,billingparamvalue,6
g3_amr,dbo,billingprofile,15
g3_amr,dbo,billingprofilecalc,5
g3_amr,dbo,billingprofilecalcvariable,11
g3_amr,dbo,billingprofileitem,4
g3_amr,dbo,company,11
g3_amr,dbo,customer,18
g3_amr,public,awsdms_apply_exceptions,6
g3_amr,public,awsdms_changes058e91af8826d487,39
g3_amr,public,awsdms_changes38f5ac2032532b52,30
g3_amr,public,awsdms_changes7513453ab0b8f6f4,39
g3_amr,public,awsdms_validation_failures_v1,8
