database_name,schema_name,table_name,column_count
kepwaredb,pg_automv,mv_tbl__auto_mv_174347189__0,0
kepwaredb,pg_automv,mv_tbl__auto_mv_246143056__0,0
kepwaredb,pg_automv,mv_tbl__auto_mv_294563376__0,0
kepwaredb,pg_automv,mv_tbl__auto_mv_298106327__0,0
kepwaredb,pg_automv,mv_tbl__auto_mv_301045469__0,0
kepwaredb,public,agg_all_5s,7
kepwaredb,public,awsdms_apply_exceptions,6
kepwaredb,public,awsdms_changes0b1446b22a414149,9
kepwaredb,public,awsdms_changes11ce872db93392d0,9
kepwaredb,public,awsdms_changes389d302703f6e0fa,9
kepwaredb,public,awsdms_validation_failures_v1,8
kepwaredb,public,master_tag_ngc,4
kepwaredb,public,mv_tbl__ngc_15m_view__0,0
kepwaredb,public,mv_tbl__th_sf_bbo_15m__0,0
kepwaredb,public,mv_tbl__th_sf_bnd_15m__0,0
kepwaredb,public,mv_tbl__th_sf_lkb_15m__0,0
kepwaredb,public,mv_tbl__th_sf_ngc_15m__0,0
kepwaredb,public,mv_tbl__th_sf_sai_15m__0,0
kepwaredb,public,mv_tbl__th_wf_btw_15m__0,0
kepwaredb,public,th_sf_bbo_1m,7
kepwaredb,public,th_sf_bbo_1m_restored,7
kepwaredb,public,th_sf_bbo_5s,7
kepwaredb,public,th_sf_bbo_5s_restored,7
kepwaredb,public,th_sf_bnd_1m,7
kepwaredb,public,th_sf_bnd_1m_restored,7
kepwaredb,public,th_sf_btw_1m,7
kepwaredb,public,th_sf_btw_1m_restored,7
kepwaredb,public,th_sf_lkb_1m,7
kepwaredb,public,th_sf_ngc_1m,7
kepwaredb,public,th_sf_ngc_1m_restored,7
kepwaredb,public,th_sf_sai_1m,7
kepwaredb,public,th_sf_sai_1m_restored,7
kepwaredb,public,th_wf_btw_1m,7
kepwaredb,public,th_wf_btw_1m_restored,7
kepwaredb,public,th_wf_btw_5s,7
kepwaredb,public,th_wf_btw_5s_restored,7
