database_name,schema_name,table_name,column_count
oracle_ebs,power,ap,24
oracle_ebs,power,ar_inv,37
oracle_ebs,power,ar_receipt,29
oracle_ebs,power,budget,36
oracle_ebs,power,ce,18
oracle_ebs,power,fa,41
oracle_ebs,power,gl,50
oracle_ebs,power,gl_budget,13
oracle_ebs,power,gr,29
oracle_ebs,power,iby,47
oracle_ebs,power,ie,35
oracle_ebs,power,inv,19
oracle_ebs,power,po,58
oracle_ebs,power,po_3way,58
oracle_ebs,power,pon,25
oracle_ebs,power,pos,16
oracle_ebs,power,pr,51
oracle_ebs,power,pr_30_min,49
oracle_ebs,power,pr_3way,52
