database_name,schema_name,table_name,column_count
zoho,zoho_power,accounts,84
zoho,zoho_power,attachments,9
zoho,zoho_power,calls,36
zoho,zoho_power,campaigns,38
zoho,zoho_power,contacts,90
zoho,zoho_power,contract,61
zoho,zoho_power,contract_information,20
zoho,zoho_power,dealhistory,15
zoho,zoho_power,deals,85
zoho,zoho_power,email_analytics,25
zoho,zoho_power,email_template_analytics,14
zoho,zoho_power,employee,33
zoho,zoho_power,events,43
zoho,zoho_power,feeders,34
zoho,zoho_power,industrials,37
zoho,zoho_power,leads,104
zoho,zoho_power,notes,12
zoho,zoho_power,power_plant,51
zoho,zoho_power,power_plants_x_employee,23
zoho,zoho_power,power_plants_x_employee2,23
zoho,zoho_power,price_books,19
zoho,zoho_power,products,65
zoho,zoho_power,proposals,32
zoho,zoho_power,quotes,48
zoho,zoho_power,seller,33
zoho,zoho_power,service_numbers,32
zoho,zoho_power,tasks,29
