database_name,schema_name,table_name,column_count
zoho,zoho_tech,accounts,83
zoho,zoho_tech,attachments,9
zoho,zoho_tech,calls,35
zoho,zoho_tech,campaigns,28
zoho,zoho_tech,cases,38
zoho,zoho_tech,contacts,84
zoho,zoho_tech,dealhistory,15
zoho,zoho_tech,deals,123
zoho,zoho_tech,deals_x_users,23
zoho,zoho_tech,email_analytics,25
zoho,zoho_tech,events,43
zoho,zoho_tech,leads,82
zoho,zoho_tech,ordered_items,24
zoho,zoho_tech,price_books,19
zoho,zoho_tech,products,65
zoho,zoho_tech,quoted_items,25
zoho,zoho_tech,quotes,48
zoho,zoho_tech,sales_admin,34
zoho,zoho_tech,sales_department,32
zoho,zoho_tech,sales_orders,55
zoho,zoho_tech,subform_2,20
zoho,zoho_tech,tasks,29
